1 2 3 4;1 4
5 6 7;5
8 9;8
10 11 12 13 14;12
15 16 17;16
18 19;19
20 21 22 23;20 21
9 24 25;24 25
26 27 28 29;29
30 31;30
32 33 34 35 36;33 34 35
37 38;37
39 40 41 42 43 44 45;43 44 45
46 47 48;46
20 49 50 51;20 49 51
52 53;53
54 55 56 57 58 59 60;55 60
61 62 63 64 65 66 67;62 63 64 66
68 69 70 71;71
72 73 74 75 76;72 73 74
77 78;77
79 80 81 82 83 84;82 83 84
85 86;86
57 87 88 89 90 91 92;87 88 89 90 92
12 13 93 94 95 96;12 13 93 95 96
97 98 99 100 101;99
102 103 104;103
105 106 107;105 106
108 109 110 111 112 113 114;108 110 112
115 116 117;117
118 119;118
120 121 122 123;121 122 123
74 75;74
124 125 126;125 126
127 128 129 130 131;127 129
91 132 133 134 135 136 137 138;132 133 134 135 138
20 139 140 141;20 139 141
62 65 66 142;62 65
143 144 145 146 147 148;143 144 148
54 149 150;149 150
55 60 87 151;55 60
152 153 154;152
155 156 157 158;156 157 158
125 159 160 161 162 163 164;125
165 166 167;166 167
168 169 170;168 169
171 172;171
95 96 173 174;95 96 173
175 176;176
125 126;126
177 178 179;179
180 181 182 183;181 182 183
145 148 184 185 186 187 188 189;148 185
190 191 192 193 194 195;193 194
20 139 196 197 198 199 200 201;139 197 199 200
202 203 204 205 206;205
207 208;208
83 95 96 173;96 173
209 210 211 212;209 210
213 214 215 216 217 218;214 216 217
219 220 221 222 223 224 225;220
72 226 227 228;72 227
71 229 230 231;230
232 233;232
234 235 236 237;235 236 237
84 238 239 240 241 242 243 244 245 246;84 241 242 243 244
20 64 65 247 248 249 250 251 252;64 250
253 254;253
28 29 255;29 255
256 257 258 259;256 258 259
260 261;261
262 263;263
190 264 265 266 267 268;190 264
16 269 270;16 270
247 271 272 273;247 271 273
134 274 275 276 277 278 279;274 276 277 278
280 281 282;282
90 283 284 285;90 284
190 257 286 287 288;190 287 288
126 289;126
112 217 290 291;291
249 250 292 293;250 292 293
